Sample	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	TOTAL
DC_1023_trim_R2	1434816	1446484	2219770	2332952	1142119	2266906	2082588	935361	2538041	1439535	472403	363879	104263	264460	96294	73462	66680	33671	55874	126649	126843	43625	22556	53283	40711	27007	39135	521442	45,41894998
DC_1027_trim_R1	1847688	2085304	2626543	2921546	1211167	3196191	2498943	954433	1933442	1540037	470321	353635	100204	312328	84509	88286	102623	53491	72614	202338	162643	66717	30430	63709	48118	29774	46460	506973	43,71214237
DC_1027_trim_R2	1839995	1952905	2569005	3019561	1209469	3192223	2497034	950953	1933605	1541932	470125	353783	118087	337307	126834	104965	103265	52474	73699	202790	163118	67142	30492	63551	48589	29729	46618	511217	44,04045862
DC_1030_trim_R1	2078213	2253793	2619435	2448817	1324782	3506603	2824351	1212749	1853147	2116686	625335	406781	117401	382732	83422	105697	117662	61021	77689	190200	219950	73698	34797	69730	51817	32333	77163	475374	44,47737147
DC_1030_trim_R2	2061618	1978950	2570739	2687651	1323205	3500131	2819739	1207690	1853176	2119675	625380	407149	138090	409942	126190	121086	117851	60432	80789	191219	220625	74455	34453	69036	52810	31732	77235	480330	44,85554674
DC_1032_trim_R1	1261604	1529392	2038853	1962078	1246314	2547474	2485731	1236515	2724360	2048863	797282	631831	187794	453771	146960	136542	150010	79284	149711	281096	296075	116052	59764	114305	86963	55792	100317	1051889	52,28191152
DC_1032_trim_R2	1248024	1192319	2010102	2270620	1245076	2544714	2483404	1230103	2725648	2051765	798134	632904	201055	469891	176094	149938	150119	78101	150644	281735	296638	116586	59914	114284	89256	53931	100486	1055137	52,62060852
DC_1037_trim_R1	1279762	1367058	1548299	1322405	1016906	1494598	1730376	796403	2721280	1155577	509539	372292	112705	250435	88927	66630	92435	43331	76152	154416	154305	56495	27553	73984	66129	30862	42487	561515	48,65707382
DC_1037_trim_R2	1265908	1138014	1521453	1527765	1016149	1492200	1728486	791655	2722635	1157474	510200	372063	127223	266224	114125	77444	92874	42555	76710	154880	154977	56682	27586	73887	68154	28878	42560	564095	49,03450131
DC_2011_trim_R1	2088444	2146577	2225431	2489311	1312158	2713891	2399753	879629	2057565	1398575	457070	261012	125232	261577	87822	76352	83257	63211	71499	202433	145737	57129	29195	42307	46011	26746	40968	365898	42,80302048
DC_2011_trim_R2	2068825	1844139	2182661	2750377	1311162	2711049	2397927	876459	2057906	1400659	456952	261694	147791	288413	126743	92663	84200	61083	72375	202855	145982	57535	29177	42183	46769	26402	41174	369635	43,23397559
DC_2012_trim_R1	1383905	1935589	2114069	1842245	1547405	3151082	2294861	1082218	4697865	1664877	995218	540615	207460	924810	157680	116568	195070	87203	253930	1919372	325207	142378	61387	191170	196570	131106	120714	1090335	56,43059583
DC_2012_trim_R2	1373064	1301616	2082289	2446138	1552056	3141435	2293489	1075258	4701502	1666890	996440	528594	234245	924195	201025	132985	195763	85467	254153	1917295	326129	142875	61516	190816	198603	129445	121051	1096575	56,81796621
DC_2014_trim_R1	2981590	2885633	2940638	3298137	1646928	3189171	2997593	1185719	1701176	2580404	455519	215531	98874	122213	87359	62534	81816	16715	10378	19223	25262	9137	5771	4295	3854	4299	3781	72488	37,74755525
DC_2014_trim_R2	3003304	2609211	2946380	3575108	1645930	3186602	2994989	1182232	1700707	2584122	454894	216186	130039	144640	83067	40563	27528	15281	11239	19583	25304	9540	5878	4032	3987	4545	3835	77312	37,76470531
DC_2017_trim_R1	1357097	1763442	2258948	2796184	1454687	2462215	2732933	1465337	2196945	3349035	913597	672042	208014	293456	167444	128715	203470	113333	125017	237383	607417	123675	95459	111945	60244	45884	100461	658054	50,31916474
DC_2017_trim_R2	1348231	1427897	2217825	3096082	1453438	2458663	2730179	1460474	2195724	3352676	913671	672975	224564	313560	201148	145432	202490	113464	126992	238547	608047	124684	95796	111478	60943	45223	100654	661576	50,65624769
DC_2019_trim_R1	1968536	2370298	2829735	3923797	1924348	3333797	3385742	1745663	2801959	3445473	950946	566132	220718	282589	187942	135648	187863	128567	117530	213404	419594	107005	74356	87931	47176	36286	48812	435103	45,89206616
